w_0                   w_a                   w_p                   w_phi                 Omega_M               Omega_DE              x1                    x2                    y1                    y2                    c1                    c2                    u                     Lambda_1              Lambda_2              n                     
-1.01089324832        0.18626245484         -0.948805763371       -0.969171288411       0.164010993922        0.83598900577         0.103755337035        6.07295405963e-13     0.011404643405        2.59963959941e-13     0.194020453269        0.00181101602016      1.75449964721e-05     9.43398113206         1.31421356237         15                    
-0.967115334825       0.00330629488157      -0.966013236531       -0.964098085497       0.0232866385389       0.976713361405        0.152149848204        2.118154301e-13       0.131514951962        7.95981856335e-13     0.0520002847089       0.00135624095176      7.5040343439e-06      9.43398113206         1.31421356237         15                    
-0.964906825407       -0.00190710113086     -0.965542525783       -0.963413268347       0.015641138858        0.984358861095        0.0150746450381       6.21452894441e-13     0.20043497522         9.15682257391e-13     0.920798114186        0.00130348668503      6.83918489204e-06     9.43398113206         1.31421356237         15                    
-1.08335955711        0.759125900791        -0.830317590176       -0.949623275191       0.54141043767         0.458589561739        0.0179483689295       8.07766371793e-14     0.113157705063        1.47186523773e-13     0.749304724222        0.0012573981462       2.43084819593e-05     9.43398113206         1.31421356237         15                    
-0.966997120876       0.00299121246294      -0.966000050055       -0.964065618899       0.0228987225669       0.9771012774          0.0926994919064       5.87712520293e-13     0.0846430820365       8.64054514669e-13     0.346850425836        0.00166011218463      5.79539221987e-06     9.43398113206         1.31421356237         15                    
-0.980948372214       0.0509909660734       -0.963951383523       -0.966723908195       0.0656310865014       0.93436891342         0.185542536124        1.53873842491e-13     0.142311318294        5.41079668844e-13     0.678592592438        0.00150929426962      8.86444435332e-06     9.43398113206         1.31421356237         15                    
-0.963651417842       -0.00368987351439     -0.96488137568        -0.962882914239       0.0104565640228       0.989543435944        0.231250175527        7.42899694151e-13     0.212735948961        9.00146095012e-13     0.574894949728        0.00186044282005      5.78053464185e-06     9.43398113206         1.31421356237         15                    
-0.977703449786       0.0385427473626       -0.964855867332       -0.966238744377       0.0557704999176       0.944229500019        0.185699779197        9.74754206132e-13     0.035999911518        6.13192547278e-13     0.999709997038        0.00145953951542      7.96861257421e-06     9.43398113206         1.31421356237         15                    
-0.970872356124       0.0145343205642       -0.966027582602       -0.96499393911        0.0350924238116       0.964907576141        0.259234705561        1.70946161238e-13     0.0878860576378       7.99385834623e-13     0.742115005574        0.0012261142971       6.87673048131e-06     9.43398113206         1.31421356237         15                    
-1.05456061295        0.447101976731        -0.905526620704       -0.966155687351       0.342044768747        0.657955230228        0.0211695939608       6.68241215997e-13     0.156724421971        1.51389171398e-13     0.100449007263        0.00142718639704      3.20186102237e-05     9.43398113206         1.31421356237         15                    
-0.967569756109       0.0045449457376       -0.966054774197       -0.964219762336       0.0247640828751       0.975235916999        0.252703694835        3.40608052271e-13     0.28857717411         5.48107968094e-13     0.600766421979        0.00136409527317      1.12111771256e-05     9.43398113206         1.31421356237         15                    
-1.01772405401        0.221578348687        -0.943864604445       -0.96927591585        0.188739467255        0.811260532422        0.269426857445        1.63079044965e-13     0.0365212852235       2.88102591168e-13     0.700403707317        0.00123520038943      1.79836458318e-05     9.43398113206         1.31421356237         15                    
-0.977457066263       0.0376212418981       -0.964916652297       -0.966199536953       0.0550250809257       0.94497491874         0.286103068551        5.75228457736e-13     0.192630368206        3.93918507512e-13     0.166970674523        0.00100381759615      1.82833966594e-05     9.43398113206         1.31421356237         15                    
-0.966590320176       0.00193191828493      -0.965946347415       -0.963951027113       0.0215503799442       0.978449620025        0.0865454081014       1.71252243757e-13     0.174067662822        8.16078459331e-13     0.972021893146        0.00194505100021      5.58888875288e-06     9.43398113206         1.31421356237         15                    
-0.997701208303       0.122634760282        -0.956822954875       -0.96849789391        0.118780394295        0.881219605515        0.0592347055684       5.88642406064e-13     0.0919441160599       3.88466916635e-13     0.16731543063         0.00132750307817      1.37669840584e-05     9.43398113206         1.31421356237         15                    
-0.965335661801       -0.00103398960795     -0.965680325004       -0.963562608652       0.0172146417803       0.982785358142        0.186900653875        3.02457929733e-13     0.196290699472        6.23216444376e-13     0.716320076916        0.00179150919563      8.82184592204e-06     9.43398113206         1.31421356237         15                    
-0.965339964349       -0.00102475045585     -0.965681547835       -0.963564049509       0.0172301140957       0.98276988586         0.229968376372        3.23816981619e-13     0.0437599248804       8.19354525625e-13     0.0618667067998       0.00163509933465      6.62571677438e-06     9.43398113206         1.31421356237         15                    
-0.973925336644       0.0248319287537       -0.96564802706        -0.965594977312       0.0443606903488       0.955639309595        0.147247445996        1.44719338826e-13     0.159639810296        6.18852921238e-13     0.0130221015795       0.00173929987263      7.52015905543e-06     9.43398113206         1.31421356237         15                    
-1.0219535573         0.244288686805        -0.940523995034       -0.969252629461       0.204530180158        0.795469819634        0.143620830286        3.068742102e-13       0.290931579149        3.07766569581e-13     0.00439632229823      0.0014078721241       1.4421715167e-05      9.43398113206         1.31421356237         15                    
-1.04038491672        0.351834180546        -0.923106856539       -0.968248360959       0.278233334332        0.721766665378        0.0199555232744       6.35772082308e-13     0.116988123368        2.57999234718e-13     0.157277571199        0.0013344684376       1.703068918e-05       9.43398113206         1.31421356237         15                    
-0.626685855442       0.893130782447        -0.328975594627       -0.612067071086       0.91736615022         0.0826338467186       0.254022454114        2.30370738368e-13     0.0105079339892       2.07544598143e-14     0.592311295073        0.00191701368234      5.53315502638e-05     9.43398113206         1.31421356237         15                    
