w_0                   w_a                   w_p                   w_phi                 Omega_M               Omega_DE              x1                    x2                    y1                    y2                    c1                    c2                    u                     Lambda_1              Lambda_2              n                     
-0.273306141278       -0.373258086803       -0.394210338419       -0.305527625431       0.653620931495        0.346379066596        0.106094981723        5.14064424224e-14     0.0746690934582       4.54500495997e-14     1.9247284992          1.8996761756          0.825497713474        24.5375305242         5.35949232909         10.0                  
-0.10797734467        -0.259364514188       -0.191989612491       -0.132984131962       0.906677741186        0.093322255202        0.183157326106        6.74990441144e-14     0.106464357736        3.97672516767e-14     1.08980136088         1.99561823523         0.771244076823        22.0154772621         14.7475089773         10.0                  
-0.213339395773       -0.303017984751       -0.31149171306        -0.233812057853       0.911153991199        0.0888460078538       0.0252146414994       5.14549090856e-14     0.0196981177393       2.74031208032e-14     1.72075322707         1.42578885512         0.738415033855        20.3103455747         12.7042866581         10.0                  
-0.498198705955       0.0830874624687       -0.471285362889       -0.452554369278       0.956134014002        0.0438659844441       0.0529518044609       1.10896681965e-14     0.0385494086038       6.65447030286e-15     1.72150283088         1.58102092889         0.798588417084        22.1069690942         10.9049610827         10.0                  
-0.211299753322       -0.341681449489       -0.321975778275       -0.241981485362       0.717611580546        0.28238841865         0.0192557283494       9.36332356093e-14     0.0134398595486       6.34763778719e-14     1.42298724146         1.34418489484         0.751423637471        20.7497871849         6.75834391015         10.0                  
-0.484224127775       -0.340156303863       -0.59440613394        -0.508005780713       0.48103958195         0.51896041756         0.0805269422551       4.46154836925e-14     0.0657492052825       4.18040233003e-14     1.93745786094         1.31862569482         0.71781548972         20.6865192546         2.7339533966          10.0                  
-0.173613804595       -0.24678749541        -0.253552177137       -0.198460757913       0.532045865413        0.467954130649        0.247327501136        9.21968389411e-14     0.233874280447        6.90631094366e-14     1.74425270191         1.38756157273         0.802007169515        16.0634215059         5.47997061132         10.0                  
-0.385410633308       -0.314931691549       -0.487421988633       -0.397321124596       0.796141036161        0.20385896197         0.119538835201        2.539680423e-14       0.0872734352472       1.75111467172e-14     1.22570331385         1.25528531558         0.819016674623        17.8901258112         5.95399453579         10.0                  
-0.134299886745       -0.279187595319       -0.224733164034       -0.162074020681       0.755947508771        0.244052487076        0.0821675018506       8.91943076367e-14     0.0525411846087       5.74032068171e-14     1.66274766048         1.44996943978         0.894031274995        25.1839971724         8.38739629081         10.0                  
-0.298967139942       -0.324654533933       -0.404127877677       -0.327285239706       0.513615108245        0.486384891011        0.205619437616        7.6351457245e-14      0.15939389417         5.8319088853e-14      1.04671114693         1.18122617859         0.720581954121        14.8627619152         4.21231270723         10.0                  
-0.493460145787       -0.200852390705       -0.558519411482       -0.515252765324       0.133935105099        0.866064894431        0.0680443009294       8.81552388772e-14     0.0463520256685       8.29108862954e-14     1.52055326623         1.05066450141         0.877326746146        22.2218824985         1.84534480288         10.0                  
-0.401081346615       -0.304895832846       -0.499841928597       -0.426177365691       0.398895582245        0.601104417173        0.0441871463161       6.75824417082e-14     0.0431428037489       6.51768427435e-14     1.40826686878         1.48358997883         0.790515251298        13.1855513686         2.99748425546         10.0                  
-0.204026858962       -0.312699557212       -0.305315190676       -0.233971627075       0.612784728279        0.387215269986        0.118745708313        9.01555237462e-14     0.0783146443713       5.93811503543e-14     1.50738295147         1.11152012427         0.817091738101        22.9646827757         5.73264510715         10.0                  
-0.248867809182       -0.195316926475       -0.312134050473       -0.252310386673       0.913502816934        0.0864971807153       0.0548632798624       2.93773258757e-14     0.05415190292         1.85890360691e-14     1.70755693956         1.9778633393          0.859851450273        14.9275822878         12.4575766353         10.0                  
-0.455621763162       -0.264486300941       -0.54129305871        -0.459950137165       0.711573041805        0.288426957331        0.0961321576696       3.04682656947e-14     0.0850992301973       2.51563390273e-14     1.34121033628         1.39664575169         0.750614760082        14.6802240457         4.2804983345          10.0                  
-0.321982012504       -0.327783593654       -0.428156302166       -0.350193545679       0.493109350087        0.506890649225        0.215139541548        7.09614403411e-14     0.199273541986        7.07838305619e-14     1.53529208483         1.91286363643         0.706108655305        15.1450807281         3.92336727085         10.0                  
-0.329057443617       -0.332278777861       -0.436687794532       -0.359482569091       0.444130169771        0.555869829801        0.05211299434         9.47503354176e-14     0.0368489423335       7.23571574683e-14     1.63806660552         1.0610406952          0.718550551314        22.2196442004         3.63185480904         10.0                  
-0.174229655515       -0.327706445819       -0.280378955773       -0.204018861018       0.807806533004        0.192193465982        0.0991444796397       8.8972135032e-14      0.0679028357974       4.83770254762e-14     1.49232205511         1.08907781589         0.737910082936        21.8371272319         8.90496800996         10.0                  
-0.197099640552       -0.283304434681       -0.288866427215       -0.224804209765       0.558941585065        0.441058413072        0.225113729077        9.34617109029e-14     0.14470620069         6.7524464219e-14      1.01061402198         1.27745293321         0.743792440964        18.6026152332         5.40784168719         10.0                  
-0.125585258357       -0.247237307497       -0.205669332148       -0.147287676558       0.902933368577        0.0970666297316       0.0101267408174       8.4193774427e-14      0.00981611070307      4.83276789061e-14     1.91005928051         1.84226861033         0.827570961411        16.5118866279         14.3006711517         10.0                  
-0.0757148230138      -0.214247541251       -0.145112989806       -0.0980657768475      0.891699145695        0.108300844454        0.13423009364         7.95596640672e-14     0.0851190724032       4.50915257426e-14     1.31883894165         1.80737114532         0.885407039929        22.2336587194         14.4001163945         10.0                  
-0.418854461624       -0.291367477428       -0.513232995344       -0.442540332801       0.372297794795        0.627702202663        0.218911907156        3.47218509522e-14     0.197984365996        3.30055390998e-14     1.08816486063         1.38035122038         0.873887902871        12.1548083572         2.80661139242         10.0                  
